Date;Soc Gen CTA Index;Soc Gen CTA Trend Index
25/07/2000;94,87201064;87,2783542
26/07/2000;95,21905246;87,78474321
27/07/2000;95,3132241;88,25904418
28/07/2000;95,49422391;88,34730322
31/07/2000;94,99096935;87,5340663
01/08/2000;94,74095312;87,32450974
02/08/2000;94,93791957;87,8570146
03/08/2000;95,04349053;88,15581631
04/08/2000;95,29725665;88,7725544
07/08/2000;95,07025859;88,27516178
08/08/2000;95,18234642;88,62014111
09/08/2000;94,97798992;88,35436931
10/08/2000;95,25921975;88,80462317
11/08/2000;94,94457855;88,34337196
14/08/2000;95,45642477;89,18175056
15/08/2000;94,72398762;87,91617234
16/08/2000;94,33258811;87,30946283
17/08/2000;94,65397923;87,98130915
18/08/2000;95,15810633;88,86077032
21/08/2000;95,61124923;89,64292282
22/08/2000;95,06922906;88,72838572
23/08/2000;94,77223279;88,4716945
24/08/2000;94,2616;87,55114652
25/08/2000;94,77221508;88,50580422
28/08/2000;94,85732053;88,6030721
29/08/2000;95,29442307;89,20575019
30/08/2000;95,41439874;89,66105634
31/08/2000;95,77611473;90,31486476
01/09/2000;96,09313367;90,75813012
04/09/2000;96,13243576;90,69396412
05/09/2000;96,82929979;92,11795005
06/09/2000;97,86924647;93,95109726
07/09/2000;97,68662245;93,86682313
08/09/2000;96,8582399;92,1300053
11/09/2000;97,30465952;93,18996101
12/09/2000;97,01955687;92,32254885
13/09/2000;97,02673632;92,33261201
14/09/2000;96,94503981;92,27647378
15/09/2000;97,43306114;93,29234548
18/09/2000;97,4099695;93,02161109
19/09/2000;96,80115719;92,14711493
20/09/2000;96,82313105;92,15614535
21/09/2000;95,91154128;90,21174283
22/09/2000;94,06486046;86,69384571
25/09/2000;93,79338927;86,28569109
26/09/2000;93,38398113;85,43129017
27/09/2000;93,31235562;85,23471277
28/09/2000;92,69201508;84,17873992
29/09/2000;92,67718435;84,19481806
02/10/2000;93,10164586;84,91081079
03/10/2000;93,08079109;85,02917646
04/10/2000;92,64917546;84,19682585
05/10/2000;92,67076272;84,33120399
06/10/2000;92,8422963;84,72730765
09/10/2000;93,31087137;85,49044651
10/10/2000;93,24919288;85,65287836
11/10/2000;93,95956523;86,82615149
12/10/2000;95,19043554;89,26596634
13/10/2000;95,05269498;88,7745572
16/10/2000;94,55100685;87,7627048
17/10/2000;94,72687173;88,20090398
18/10/2000;95,47701382;89,89462594
19/10/2000;94,82156412;88,54683581
20/10/2000;95,01196583;88,85666119
23/10/2000;95,37519657;89,5937272
24/10/2000;94,92082913;88,61697638
25/10/2000;95,56543649;89,52955401
26/10/2000;95,78284785;89,75418366
27/10/2000;94,61918203;87,58213241
30/10/2000;94,88827899;87,93211061
31/10/2000;94,29086238;86,91227399
01/11/2000;93,78103169;86,18221089
02/11/2000;93,71772949;86,06086634
03/11/2000;92,57381089;84,25384633
06/11/2000;92,74868282;84,48150022
07/11/2000;92,70666766;84,38823265
08/11/2000;92,99952803;85,04705158
09/11/2000;93,48080058;85,89743705
10/11/2000;93,9568983;87,01358834
13/11/2000;95,15372127;88,9279743
14/11/2000;95,23431647;89,1686134
15/11/2000;96,03038013;90,40805713
16/11/2000;96,3770498;91,07689593
17/11/2000;96,68555273;91,87809939
20/11/2000;97,82354169;93,52271736
21/11/2000;98,10595826;94,2618274
22/11/2000;99,12037386;95,6947957
23/11/2000;99,14366715;95,75192549
24/11/2000;99,64434267;96,4408606
27/11/2000;98,23058874;94,11731094
28/11/2000;97,93511113;93,63693619
29/11/2000;99,47092954;95,9875042
30/11/2000;100,6538378;97,87778612
01/12/2000;99,82495348;95,73475199
04/12/2000;99,97678723;95,97437607
05/12/2000;100,6389335;97,02932642
06/12/2000;101,2182112;98,30089574
07/12/2000;101,6636725;99,23445935
08/12/2000;101,0956776;98,3018539
11/12/2000;99,68670715;96,27722891
12/12/2000;99,93243488;96,52697205
13/12/2000;101,1291258;98,66996735
14/12/2000;102,6432311;101,1068195
15/12/2000;104,0277856;103,2307705
18/12/2000;103,8637338;103,2097114
19/12/2000;104,1359606;103,4784695
20/12/2000;106,924201;108,0722927
21/12/2000;107,8783925;109,3368466
22/12/2000;108,4167057;110,7147095
25/12/2000;108,3752905;110,5822947
26/12/2000;109,0636904;111,3444279
27/12/2000;108,924307;111,0335543
28/12/2000;108,3937367;109,9565288
29/12/2000;109,5640639;111,9791791
01/01/2001;109,5640639;111,9902651
02/01/2001;111,6065571;115,7086778
03/01/2001;109,9762086;112,4224357
04/01/2001;112,0830228;116,2561532
05/01/2001;113,4855177;118,9295797
